#{"t_start": 1779749980.414938, "env_id": "None"}
r,l,t
-154.0,59,1.367689
-176.0,54,2.017973
-182.0,48,2.607713
-108.0,127,3.988726
-180.0,40,4.515598
-162.0,73,5.355382
-116.0,114,6.615474
-130.0,124,7.965597
-114.0,108,9.155735
-122.0,129,10.555699
-170.0,47,11.135655
-178.0,47,11.715701
-164.0,54,12.635677
-160.0,52,13.275735
-182.0,37,13.756442
-170.0,43,14.295554
-88.0,159,15.9966
-168.0,43,16.535545
-158.0,74,17.385636
-168.0,51,18.005764
-176.0,45,18.565609
-138.0,72,19.396394
-156.0,66,20.165678
-152.0,54,20.81635
-174.0,33,21.255584
-150.0,85,22.215851
-150.0,69,23.016462
-102.0,142,24.545685
-166.0,62,25.275728
-114.0,110,26.485692
-120.0,99,27.585793
-176.0,32,28.015848
-170.0,44,28.56644
-176.0,42,29.09565
-136.0,88,30.085907
-166.0,68,30.875807
-152.0,58,31.565809
-108.0,121,32.885826
-180.0,29,33.285812
-150.0,55,33.945818
-158.0,47,34.525861
-114.0,114,35.775886
-116.0,92,36.805871
-142.0,80,37.715711
-108.0,113,38.955516
-156.0,64,39.70583
-116.0,99,40.80553
-162.0,58,41.495386
-176.0,34,41.946523
-148.0,56,42.616449
-152.0,68,43.406488
-154.0,67,44.186803
-100.0,119,45.485509
-170.0,44,46.036577
-166.0,51,46.65765
-160.0,46,47.226554
-142.0,87,48.205957
-162.0,54,48.856694
-150.0,46,49.425735
-146.0,63,50.167562
-180.0,22,50.496613
-162.0,49,51.096815
-178.0,34,51.546683
-144.0,61,52.266491
-152.0,49,52.866391
-130.0,77,53.746725
-150.0,61,54.466614
581.0,181,56.385587
-138.0,71,57.206785
-176.0,39,57.706388
-160.0,56,58.37669
-144.0,54,59.026654
-176.0,35,59.485644
-112.0,92,60.51658
-106.0,99,61.617673
-110.0,93,62.656748
-128.0,92,63.686812
-168.0,27,64.066761
-174.0,22,64.395855
-160.0,54,65.04575
-146.0,66,65.81612
-174.0,36,66.286812
-178.0,30,66.696854
-110.0,87,67.677358
-158.0,43,68.217635
-156.0,40,68.72692
-154.0,55,69.393793
-178.0,32,69.816702
-154.0,66,70.586562
-110.0,91,71.605866
-168.0,36,72.077463
-164.0,41,72.597696
-168.0,34,73.046082
-132.0,70,73.860024
-142.0,49,74.457894
-178.0,24,74.807684
-172.0,33,75.248781
-144.0,65,76.008716
-98.0,125,77.366802
-106.0,85,78.327104
-128.0,78,79.219425
-138.0,74,80.066985
-172.0,26,80.438861
-152.0,51,81.057906
-100.0,127,82.440909
-152.0,57,83.117227
-180.0,24,83.46682
-162.0,51,84.088349
-140.0,53,84.729161
-168.0,33,85.169858
-146.0,47,85.751365
-140.0,61,86.468623
-100.0,97,87.548828
-158.0,45,88.109561
-102.0,104,89.255969
-64.0,129,90.658907
-78.0,110,91.868626
-154.0,46,92.436954
-176.0,22,92.766627
-88.0,125,94.129059
-144.0,66,94.896925
-162.0,38,95.386322
-172.0,41,95.911525
-178.0,30,96.31975
-126.0,77,97.196813
-102.0,100,98.309138
-174.0,29,98.710071
-156.0,40,99.223536
