#{"t_start": 1779749977.0241246, "env_id": "None"}
r,l,t
-118.0,140,4.755653
-156.0,87,5.735346
-124.0,107,6.916677
-164.0,70,7.737104
-146.0,70,8.547411
-162.0,75,9.427691
-118.0,121,10.747152
-120.0,122,12.077224
-178.0,49,12.677402
-120.0,118,13.967402
-184.0,43,14.507282
-144.0,73,15.617632
-170.0,40,16.127529
-144.0,87,17.107354
-134.0,90,18.11729
-156.0,83,19.05727
-152.0,70,19.867424
-180.0,38,20.357317
-128.0,97,21.437511
-154.0,68,22.227725
-168.0,42,22.757671
-150.0,81,23.679666
-142.0,121,24.999344
-178.0,39,25.499572
-172.0,35,25.959463
-164.0,45,26.519556
-112.0,107,27.699809
-170.0,44,28.249449
-112.0,115,29.509484
-148.0,78,30.399727
-132.0,93,31.439481
-136.0,82,32.369627
-176.0,39,32.869542
-166.0,39,33.369384
-170.0,49,33.969573
-132.0,87,34.949608
-110.0,112,36.179713
-162.0,62,36.909575
-170.0,47,37.490411
-170.0,44,38.039847
-116.0,111,39.259667
-114.0,96,40.329655
-138.0,83,41.269797
-144.0,91,42.289702
-180.0,24,42.639743
-106.0,104,43.790295
-100.0,132,45.219265
-152.0,55,45.880376
-164.0,61,46.599769
-174.0,25,46.959688
-90.0,116,48.23071
-162.0,41,48.750504
-172.0,31,49.170346
-158.0,43,49.7097
-132.0,68,50.499833
-136.0,81,51.419175
-162.0,39,51.920487
-178.0,21,52.239784
-104.0,115,53.502403
-144.0,50,54.109534
-170.0,41,54.630276
-158.0,48,55.219694
-174.0,30,55.63162
-146.0,71,56.450301
-112.0,110,57.660464
-160.0,50,58.269676
-86.0,122,59.599435
-108.0,120,60.909805
-164.0,39,61.409785
595.0,125,62.769435
-152.0,60,63.480586
-168.0,31,63.900561
-110.0,114,65.149696
-154.0,60,65.860662
-168.0,39,66.360789
-160.0,44,66.9106
-170.0,36,67.381414
-152.0,57,68.060756
-142.0,75,68.920735
-158.0,60,69.63152
-154.0,55,70.290606
-164.0,46,70.861142
-112.0,79,71.760679
-162.0,47,72.34069
-112.0,95,73.401586
-158.0,48,73.990876
-114.0,76,74.861633
-158.0,41,75.382609
-142.0,73,76.221626
-144.0,63,76.96073
-118.0,134,78.411145
-110.0,100,79.521578
-160.0,42,80.054604
-150.0,43,80.601684
-180.0,26,80.971585
-140.0,66,81.741767
-92.0,114,82.992629
-162.0,36,83.459642
-112.0,104,84.611676
-110.0,84,85.561595
-174.0,28,85.95371
-166.0,32,86.379927
-162.0,36,86.851735
-158.0,52,87.482259
-172.0,33,87.922477
-118.0,73,88.764724
-138.0,59,89.460895
-138.0,60,90.169751
-150.0,53,90.813733
-156.0,36,91.28478
-118.0,95,92.340711
-162.0,43,92.883062
-108.0,86,93.853501
-112.0,92,94.890614
-170.0,37,95.372839
-166.0,39,95.873251
-92.0,103,97.059695
-122.0,88,98.063057
-122.0,88,99.051966
-110.0,86,100.022994
-172.0,26,100.40478
-144.0,58,101.090244
-148.0,56,101.777326
-110.0,106,102.942456
-154.0,40,103.473914
-158.0,47,104.050474
-112.0,74,104.902095
-110.0,90,105.910376
-170.0,35,106.374103
-138.0,46,106.943177
-140.0,64,107.707869
-166.0,34,108.16433
-152.0,59,108.85986
-164.0,32,109.292327
-150.0,42,109.823653
-126.0,96,110.889893
-154.0,46,111.463655
-170.0,29,111.86014
-136.0,69,112.66292
-168.0,42,113.191279
-176.0,31,113.610717
-178.0,30,114.022759
-152.0,48,114.612615
-144.0,66,115.39037
-96.0,108,116.584027
-106.0,81,117.500741
-184.0,21,117.821207
-92.0,101,118.943651
-156.0,40,119.453483
-84.0,107,120.632846
-172.0,26,120.999923
622.0,96,122.070316
-164.0,37,122.555026
-140.0,53,123.193975
-130.0,70,124.002709
-146.0,59,124.700271
-130.0,64,125.453689
-154.0,43,125.992266
-174.0,25,126.353688
-162.0,29,126.810448
-108.0,109,128.011173
-106.0,85,128.973408
-66.0,155,130.631089
-142.0,54,131.281854
-174.0,27,131.663741
-150.0,42,132.211921
-108.0,87,133.192823
-104.0,115,134.450995
-106.0,97,135.553315
-110.0,87,136.535709
-144.0,62,137.341665
-180.0,28,137.754851
-160.0,48,138.356496
605.0,125,139.71298
-168.0,41,140.234743
-140.0,65,140.99582
599.0,139,142.502394
-104.0,93,143.546523
609.0,131,144.972484
-120.0,83,145.914713
-106.0,99,147.020695
-108.0,90,148.034999
583.0,167,149.814607
-108.0,86,150.788674
596.0,140,152.294188
-142.0,77,153.177383
604.0,130,154.584391
576.0,176,156.454098
-146.0,200,158.564209
611.0,135,160.024122
602.0,122,161.354337
589.0,163,163.094616
607.0,141,164.614854
611.0,145,166.174704
-170.0,39,166.678697
-12.0,176,168.548156
609.0,119,169.844818
-110.0,94,170.906751
615.0,133,172.344938
610.0,136,173.814788
626.0,108,175.004817
600.0,138,176.504295
614.0,136,177.974973
603.0,139,179.475036
606.0,134,180.925411
597.0,155,182.584517
615.0,127,183.965332
607.0,133,185.404809
606.0,132,186.835025
599.0,157,188.514951
617.0,109,189.714999
-80.0,123,191.087578
599.0,125,192.455136
613.0,137,193.935128
607.0,145,195.495348
627.0,107,196.675052
613.0,119,197.975425
627.0,105,199.134719
621.0,105,200.29451
618.0,124,201.645226
615.0,127,203.024647
639.0,99,204.124913
618.0,120,205.434675
594.0,142,206.965423
626.0,106,208.134419
622.0,132,209.565179
614.0,136,211.035608
609.0,127,212.414572
637.0,101,213.535314
615.0,141,215.055264
-148.0,40,215.565961
635.0,105,216.724786
609.0,121,218.04405
631.0,115,219.306917
601.0,141,220.827024
615.0,135,222.286968
616.0,118,223.590257
628.0,122,224.922666
607.0,145,226.484602
623.0,129,227.886595
618.0,104,229.040885
634.0,112,230.273077
629.0,99,231.365341
630.0,102,232.487835
624.0,102,233.624411
613.0,139,235.117365
621.0,125,236.481988
637.0,123,237.822236
633.0,121,239.142597
645.0,113,240.382488
642.0,106,241.553218
613.0,135,243.012097
634.0,110,244.223301
647.0,119,245.522356
625.0,127,246.90268
634.0,114,248.152774
628.0,134,249.60342
643.0,117,250.882616
642.0,92,251.912605
638.0,96,252.982574
631.0,109,254.182535
632.0,118,255.472532
617.0,123,256.812949
645.0,103,257.952858
634.0,100,259.062278
632.0,122,260.392869
631.0,105,261.552266
639.0,115,262.812532
632.0,116,264.082821
635.0,117,265.362081
642.0,92,266.392759
647.0,107,267.584002
-140.0,40,268.106663
643.0,93,269.152562
642.0,110,270.372916
630.0,132,271.813276
642.0,88,272.802195
641.0,115,274.062502
633.0,101,275.192796
641.0,105,276.352751
633.0,99,277.452247
658.0,106,278.625188
652.0,100,279.73567
647.0,119,281.036448
654.0,116,282.305509
656.0,88,283.295029
650.0,100,284.407634
638.0,106,285.58749
642.0,96,286.671658
644.0,112,287.904589
650.0,92,288.937027
643.0,103,290.081018
637.0,101,291.204493
628.0,126,292.579173
660.0,106,293.763753
