#{"t_start": 1779744377.8609426, "env_id": "None"}
r,l,t
596.0,144,258.838474
572.0,184,260.788185
587.0,167,262.568004
598.0,148,264.157512
-106.0,90,265.167417
610.0,128,266.567991
601.0,125,267.928502
607.0,125,269.297966
-66.0,188,271.29205
586.0,164,273.038176
585.0,167,274.817366
582.0,166,276.588727
604.0,132,278.018159
-138.0,200,280.128295
-142.0,50,280.740157
573.0,167,282.528067
599.0,139,284.027524
585.0,169,285.828035
602.0,156,287.498272
612.0,132,288.928154
603.0,117,290.218329
606.0,126,291.598419
618.0,128,292.988206
589.0,173,294.838505
-102.0,106,296.040822
596.0,140,297.552333
579.0,165,299.317299
583.0,181,301.242013
589.0,151,302.864875
568.0,186,304.827409
606.0,122,306.159753
568.0,172,307.986974
579.0,153,309.627665
610.0,152,311.273887
599.0,155,312.949714
-84.0,116,314.2264
622.0,118,315.527356
620.0,120,316.841367
595.0,145,318.416771
573.0,179,320.312421
606.0,138,321.804238
599.0,149,323.402382
595.0,141,324.92232
618.0,130,326.339896
583.0,151,327.965657
621.0,139,329.476675
-142.0,66,330.292266
626.0,122,331.616961
596.0,146,333.195807
606.0,136,334.676405
596.0,134,336.126656
611.0,147,337.706483
600.0,158,339.395547
611.0,127,340.776819
594.0,166,342.64659
614.0,118,343.936949
615.0,117,345.216579
614.0,132,346.656575
623.0,119,347.956734
-124.0,200,350.076766
631.0,107,351.357195
596.0,168,353.157094
623.0,117,354.436709
589.0,155,356.106734
581.0,143,357.736451
-70.0,120,359.05124
-136.0,81,359.970749
-122.0,200,362.158768
610.0,140,363.671469
622.0,110,364.96172
616.0,134,366.404488
610.0,124,367.844136
581.0,155,369.603486
596.0,138,371.097293
613.0,137,372.656913
631.0,105,373.817493
612.0,140,375.407471
612.0,116,376.68759
620.0,114,378.009909
630.0,100,379.215754
609.0,139,380.724571
604.0,136,382.28064
603.0,145,383.844979
624.0,104,385.063378
616.0,136,386.550098
594.0,148,388.234497
603.0,141,389.86006
598.0,142,391.389866
-154.0,36,391.954697
629.0,127,393.342953
619.0,135,394.870288
-42.0,154,396.621867
632.0,128,398.020267
625.0,113,399.35545
