#{"t_start": 1779749986.0541875, "env_id": "None"}
r,l,t
632.0,102,272.597842
640.0,112,273.828294
645.0,95,274.887543
637.0,101,276.008101
634.0,110,277.217902
636.0,92,278.247993
639.0,107,279.428353
650.0,94,280.489034
646.0,104,281.638949
637.0,123,282.977203
646.0,104,284.12799
643.0,109,285.327531
645.0,95,286.38817
641.0,87,287.367505
640.0,110,288.578087
645.0,101,289.698263
647.0,95,290.758163
647.0,105,291.928494
643.0,89,292.931229
649.0,97,294.012834
623.0,115,295.277634
652.0,92,296.3123
650.0,96,297.38446
647.0,95,298.447397
642.0,96,299.51926
634.0,104,300.684307
648.0,86,301.739428
649.0,87,302.712146
657.0,87,303.698389
646.0,96,304.783282
659.0,99,305.896369
663.0,105,307.069619
656.0,116,308.345922
645.0,91,309.38136
642.0,90,310.388445
657.0,97,311.464529
655.0,107,312.660666
653.0,109,313.867857
650.0,98,314.965754
657.0,105,316.135333
648.0,90,317.145802
646.0,90,318.154978
657.0,95,319.225322
-80.0,74,320.078235
656.0,98,321.165606
655.0,101,322.295786
659.0,91,323.326547
-64.0,86,324.389116
653.0,101,325.515639
664.0,114,326.765992
656.0,94,327.815896
660.0,108,329.005832
647.0,89,330.005027
650.0,98,331.185716
658.0,88,332.184838
656.0,90,333.194747
649.0,91,334.215923
662.0,106,335.395926
-44.0,200,337.605819
659.0,101,338.746102
658.0,86,339.725719
661.0,99,340.915031
661.0,95,341.985851
655.0,81,342.9848
658.0,96,344.056007
-90.0,69,344.868235
653.0,89,345.95652
668.0,96,347.035743
649.0,87,348.115138
661.0,101,349.23806
655.0,93,350.28784
656.0,84,351.328224
657.0,89,352.34041
656.0,94,353.469503
659.0,89,354.471376
657.0,95,355.535091
641.0,81,356.547476
-138.0,35,357.036376
657.0,87,358.006302
-108.0,59,358.794821
651.0,83,359.72484
667.0,99,360.827771
657.0,95,361.889108
660.0,90,362.905792
652.0,92,364.008259
654.0,90,365.025249
655.0,87,366.092014
649.0,91,367.109657
657.0,85,368.074519
652.0,88,369.150609
660.0,96,370.22691
