#{"t_start": 1779749983.0210693, "env_id": "None"}
r,l,t
-90.0,185,2.602988
-164.0,50,3.215616
-156.0,83,4.156368
-174.0,36,4.625376
-178.0,34,5.075605
-146.0,72,5.905786
-118.0,98,7.00547
-154.0,63,7.745395
-166.0,68,8.53584
-164.0,63,9.275812
-86.0,168,11.065782
-184.0,23,11.405566
-106.0,148,13.26542
-166.0,35,13.725831
-170.0,51,14.345467
-116.0,142,15.875537
-176.0,34,16.325878
-166.0,50,16.935712
-162.0,40,17.445721
-104.0,115,18.705794
-178.0,41,19.225631
-182.0,22,19.555389
-108.0,134,21.005822
-148.0,78,21.895754
-152.0,79,22.795909
-172.0,40,23.305952
-156.0,54,23.955821
-164.0,56,24.625903
-148.0,83,25.565389
-142.0,75,26.425997
-178.0,24,26.775813
-110.0,122,28.105649
-124.0,106,29.275829
-164.0,43,29.816707
-160.0,51,30.43649
-166.0,38,30.926824
-152.0,77,31.805816
-180.0,25,32.166593
-124.0,105,33.325478
-152.0,64,34.083621
-158.0,83,35.015977
-178.0,27,35.396036
-178.0,26,35.766734
-156.0,59,36.465925
-152.0,58,37.155901
-156.0,42,37.685903
-152.0,50,38.296086
-174.0,36,38.766827
-170.0,35,39.225603
-174.0,28,39.616618
-98.0,134,41.066495
-154.0,41,41.586003
-128.0,83,42.526625
-160.0,62,43.255594
-176.0,37,43.73606
-166.0,35,44.196691
-182.0,23,44.535517
-166.0,40,45.046618
-162.0,45,45.606566
-162.0,35,46.066873
-130.0,82,46.996617
-168.0,47,47.576524
-112.0,94,48.626083
-176.0,30,49.036841
-96.0,105,50.195949
-172.0,42,50.7276
-110.0,114,51.976851
-156.0,52,52.606824
-108.0,128,53.996854
-178.0,32,54.426711
-112.0,90,55.436928
-132.0,61,56.15702
-110.0,100,57.266716
-106.0,130,58.676801
-158.0,47,59.256617
-112.0,92,60.286956
-178.0,28,60.681743
-152.0,56,61.347881
-148.0,69,62.146924
-114.0,89,63.146842
573.0,141,64.6658
-164.0,54,65.317065
-158.0,37,65.798733
-174.0,41,66.316575
-170.0,35,66.778712
-114.0,96,67.846919
-116.0,114,69.096793
-110.0,104,70.247799
-110.0,96,71.315781
-184.0,30,71.727902
-158.0,48,72.316872
-180.0,28,72.70796
-160.0,40,73.218765
-78.0,142,74.746845
-160.0,38,75.236549
-152.0,56,75.90699
-112.0,102,77.038929
-180.0,18,77.329029
-172.0,25,77.68839
-150.0,52,78.318843
-106.0,100,79.428868
-168.0,39,79.929386
-156.0,42,80.456371
-156.0,50,81.068944
-178.0,30,81.479468
-80.0,116,82.748594
-166.0,38,83.239169
-146.0,66,84.009092
-168.0,30,84.426041
-118.0,71,85.256466
-142.0,66,86.04843
-136.0,77,86.929128
-158.0,42,87.457536
-128.0,83,88.398803
-154.0,54,89.051505
-172.0,31,89.466998
-110.0,95,90.529155
-92.0,117,91.808296
-176.0,29,92.21048
-182.0,32,92.636826
-170.0,37,93.119515
-108.0,83,94.060103
-160.0,40,94.569651
-170.0,28,94.958982
-152.0,41,95.478603
-106.0,79,96.37873
-170.0,50,96.989605
-154.0,56,97.660177
-128.0,74,98.507705
-176.0,24,98.858996
-176.0,28,99.259832
-108.0,110,100.469919
-140.0,56,101.137135
-154.0,38,101.629181
-112.0,87,102.607939
-172.0,26,102.97952
-174.0,28,103.368737
-154.0,35,103.829731
-166.0,42,104.360252
-100.0,88,105.349687
-94.0,115,106.606921
-156.0,55,107.267819
-158.0,41,107.785495
-114.0,80,108.697455
-148.0,51,109.320771
-178.0,33,109.759886
-112.0,83,110.696434
-158.0,42,111.233794
-152.0,50,111.839562
-100.0,94,112.887539
-132.0,90,113.89809
-106.0,95,114.959749
-112.0,79,115.876431
-112.0,91,116.898556
-168.0,28,117.288477
-100.0,92,118.318631
-170.0,28,118.706096
-102.0,98,119.795805
-160.0,37,120.278972
-108.0,105,121.440555
-178.0,33,121.88062
-152.0,65,122.636556
-112.0,86,123.611059
610.0,106,124.786336
-170.0,34,125.240623
-110.0,90,126.248915
-170.0,41,126.772973
-162.0,36,127.239735
-162.0,37,127.719671
-94.0,119,129.030442
-132.0,73,129.870274
-158.0,34,130.330976
-108.0,81,131.248108
-172.0,33,131.688005
-108.0,101,132.812819
609.0,151,134.427238
-148.0,47,135.009619
-130.0,71,135.830533
-110.0,87,136.81716
596.0,144,138.367934
-110.0,97,139.449487
-92.0,121,140.769451
-86.0,119,142.070246
580.0,166,143.840155
-110.0,89,144.853165
574.0,178,146.740348
611.0,111,147.960394
-116.0,200,150.070544
-110.0,126,151.443559
603.0,127,152.820933
594.0,150,154.43129
592.0,166,156.201107
618.0,112,157.430274
612.0,114,158.680363
621.0,101,159.800368
589.0,161,161.521044
623.0,97,162.600548
606.0,140,164.110333
594.0,142,165.640639
603.0,141,167.160412
596.0,158,168.860306
606.0,140,170.370484
-22.0,182,172.303821
-108.0,90,173.313823
620.0,118,174.611115
613.0,117,175.890573
587.0,159,177.590417
600.0,148,179.180585
602.0,146,180.751037
611.0,133,182.190481
630.0,106,183.360734
619.0,121,184.680485
-112.0,91,185.709607
-114.0,200,187.820379
625.0,99,188.921546
614.0,120,190.231278
610.0,134,191.691102
617.0,111,192.91011
628.0,112,194.141302
610.0,116,195.410874
626.0,126,196.78127
621.0,135,198.243039
601.0,157,200.001353
609.0,133,201.440815
609.0,123,202.780809
615.0,119,204.082844
623.0,117,205.354677
619.0,119,206.657054
603.0,131,208.080076
626.0,114,209.332284
615.0,137,210.815003
631.0,111,212.037644
640.0,108,213.227158
624.0,128,214.609619
639.0,105,215.76377
617.0,123,217.105145
623.0,113,218.349345
